transaction_id,timestamp,amount_usd,customer_email,email_domain,billing_country,shipping_country,ip_country,card_bin,payment_method,account_age_days,purchases_last_24h,product_category,device_type,is_chargeback
TXN000000,2024-01-20 05:02:29,167.51,luis.garcia238@yahoo.com,yahoo.com,AR,AR,AR,540540,credit_card,1147,1,electronics,mobile,0
TXN000001,2024-05-19 19:03:43,361.36,maria.garcia758@mail.com,mail.com,GB,GB,GB,373737,debit_card,1258,2,sporting_goods,tablet,0
TXN000002,2024-07-05 17:23:11,17.89,john.johnson206@icloud.com,icloud.com,US,US,US,540540,credit_card,236,2,home_appliances,mobile,0
TXN000003,2024-06-22 03:53:04,18.37,tom.smith730@protonmail.com,protonmail.com,AR,AR,AR,540540,debit_card,516,2,books,mobile,0
TXN000004,2024-06-04 13:32:29,25.88,luis.garcia520@hotmail.com,hotmail.com,AR,AR,AR,448100,debit_card,962,0,beauty,tablet,0
TXN000005,2024-04-03 03:37:47,21.48,sarah.rodriguez553@gmail.com,gmail.com,DE,DE,DE,411111,debit_card,1129,0,books,desktop,0
TXN000006,2024-01-22 20:24:41,146.45,david.davis216@hotmail.com,hotmail.com,MX,MX,MX,448100,credit_card,1993,2,beauty,tablet,0
TXN000007,2024-01-12 09:40:15,43.55,jane.johnson331@protonmail.com,protonmail.com,DE,DE,DE,532532,bank_transfer,472,2,books,mobile,0
TXN000008,2024-02-06 01:34:33,41.09,emma.davis146@icloud.com,icloud.com,AU,AU,AU,532532,paypal,915,1,prepaid_card,tablet,0
TXN000009,2024-09-08 23:58:30,132.33,anna.rodriguez402@protonmail.com,protonmail.com,AR,AR,AR,424242,bank_transfer,1286,2,electronics,tablet,0
TXN000010,2024-10-13 21:10:09,75.69,tom.garcia55@hotmail.com,hotmail.com,AU,AU,AU,424242,bank_transfer,997,1,sporting_goods,tablet,0
TXN000011,2024-06-07 19:22:07,273.61,peter.martinez631@gmail.com,gmail.com,US,US,US,424242,paypal,795,0,books,desktop,0
TXN000012,2024-01-29 06:11:08,16.17,mike.martinez283@gmx.com,gmx.com,MX,MX,MX,601611,paypal,1486,1,prepaid_card,desktop,0
TXN000013,2024-05-31 17:20:27,239.53,luis.rodriguez615@outlook.com,outlook.com,DE,DE,DE,601109,bank_transfer,1230,0,jewelry,desktop,0
TXN000014,2024-12-25 18:13:38,20.34,luis.garcia519@gmail.com,gmail.com,AR,AR,AR,601109,bank_transfer,921,1,beauty,tablet,0
TXN000015,2024-04-01 05:53:02,14.6,alex.jones801@protonmail.com,protonmail.com,CO,CO,CO,601109,credit_card,435,0,books,tablet,0
TXN000016,2024-06-28 06:10:04,16.68,mike.smith190@hotmail.com,hotmail.com,CO,CO,CO,373737,bank_transfer,624,2,clothing,desktop,0
TXN000017,2024-07-15 07:23:39,36.02,john.jones534@icloud.com,icloud.com,AU,AU,AU,601109,debit_card,1170,0,home_appliances,desktop,0
TXN000018,2024-04-30 10:14:53,41.31,emma.wilson110@yahoo.com,yahoo.com,BR,BR,BR,540540,credit_card,615,1,home_appliances,mobile,0
TXN000019,2024-06-08 21:06:52,36.28,emma.jones499@protonmail.com,protonmail.com,FR,FR,FR,532532,credit_card,875,0,jewelry,desktop,0
TXN000020,2024-06-21 04:26:29,70.82,tom.jones317@outlook.com,outlook.com,CO,CO,CO,601611,credit_card,982,2,prepaid_card,mobile,0
TXN000021,2024-06-22 00:06:14,595.1,maria.smith212@yahoo.com,yahoo.com,CO,CO,CO,540540,debit_card,1276,2,beauty,mobile,0
TXN000022,2024-09-18 22:53:21,32.25,lisa.brown745@hotmail.com,hotmail.com,GB,GB,GB,424242,bank_transfer,1027,1,books,mobile,0
TXN000023,2024-07-31 00:25:58,48.95,mike.jones604@mail.com,mail.com,MX,MX,MX,601109,debit_card,533,2,clothing,mobile,0
TXN000024,2024-01-20 11:47:14,59.33,lisa.martinez154@protonmail.com,protonmail.com,MX,MX,MX,411111,paypal,1610,2,electronics,desktop,0
TXN000025,2024-01-03 07:24:14,39.45,ana.davis787@hotmail.com,hotmail.com,CO,CO,CO,373737,credit_card,370,0,electronics,desktop,0
TXN000026,2024-05-29 21:41:35,20.84,emma.jones80@gmail.com,gmail.com,DE,DE,DE,532532,debit_card,347,2,jewelry,mobile,0
TXN000027,2024-11-27 07:24:58,67.86,chris.lee370@icloud.com,icloud.com,GB,GB,GB,448100,debit_card,600,2,prepaid_card,tablet,0
TXN000028,2024-01-14 11:11:40,65.99,sarah.wilson394@protonmail.com,protonmail.com,CO,CO,CO,601611,debit_card,1260,2,beauty,mobile,0
TXN000029,2024-01-26 22:43:32,103.93,alex.brown166@mail.com,mail.com,CA,CA,CA,373737,debit_card,520,1,home_appliances,tablet,0
TXN000030,2024-09-04 22:19:21,442.75,jane.jones390@yahoo.com,yahoo.com,FR,PK,US,373737,credit_card,157,3,electronics,desktop,1
TXN000031,2024-06-13 14:06:02,228.03,chris.smith681@protonmail.com,protonmail.com,US,US,US,601109,debit_card,1667,0,electronics,tablet,0
TXN000032,2024-03-25 04:20:03,136.4,alex.rodriguez41@gmail.com,gmail.com,BR,BR,BR,424242,credit_card,305,0,clothing,mobile,0
