transaction_id,timestamp,amount_usd,customer_email,email_domain,billing_country,shipping_country,ip_country,card_bin,payment_method,account_age_days,purchases_last_24h,product_category,device_type
NEW0000,2025-01-12 18:35:29,229.92,lisa.lee716@icloud.com,icloud.com,DE,DE,DE,373737,credit_card,1,10,prepaid_card,mobile
NEW0001,2025-01-22 21:07:56,69.82,jane.jones486@yahoo.com,yahoo.com,FR,FR,FR,540540,paypal,271,1,books,desktop
NEW0002,2025-01-16 04:24:41,813.07,3dz4wlxx8@mail.com,mail.com,AU,BD,PK,349876,prepaid,199,2,electronics,mobile
NEW0003,2025-01-11 15:21:07,366.34,jane.jones821@protonmail.com,protonmail.com,DE,EC,US,349876,debit_card,18,2,electronics,desktop
NEW0004,2025-01-05 18:58:04,51.11,mike.wilson888@gmail.com,gmail.com,DE,DE,DE,601611,credit_card,0,7,prepaid_card,mobile
NEW0005,2025-01-05 21:39:35,1150.8,467l1lg4@protonmail.com,protonmail.com,CA,CA,UA,349876,credit_card,2,2,electronics,desktop
NEW0006,2025-01-23 16:12:36,126.12,ana.brown385@icloud.com,icloud.com,CA,CA,CA,373737,credit_card,741,0,books,desktop
NEW0007,2025-01-07 19:05:02,123.05,mike.lee272@hotmail.com,hotmail.com,DE,DE,DE,411111,debit_card,1535,1,sporting_goods,tablet
NEW0008,2025-01-16 01:45:42,20.77,maria.wilson655@mail.com,mail.com,US,US,US,448100,paypal,210,1,sporting_goods,tablet
NEW0009,2025-01-25 13:02:28,28.73,jane.garcia288@yahoo.com,yahoo.com,DE,DE,DE,424242,debit_card,629,0,books,mobile
NEW0010,2025-01-27 22:26:28,155.73,mike.garcia618@gmx.com,gmx.com,CA,CA,CA,532532,credit_card,1,7,prepaid_card,mobile
NEW0011,2025-01-09 00:42:25,132.62,alex.garcia987@gmx.com,gmx.com,GB,GB,GB,532532,credit_card,1468,1,clothing,mobile
NEW0012,2025-01-04 06:55:31,42.08,tom.garcia858@gmx.com,gmx.com,FR,FR,FR,411111,debit_card,1082,0,sporting_goods,desktop
NEW0013,2025-01-24 05:47:09,230.28,m4dx0ljnkg898@hotmail.com,hotmail.com,RO,RO,UA,540540,debit_card,10,1,jewelry,mobile
NEW0014,2025-01-21 14:50:20,925.42,vy789ny6@protonmail.com,protonmail.com,GB,GB,PK,411111,prepaid,5,3,electronics,mobile
NEW0015,2025-01-10 22:27:48,509.6,vk3gfzwb7@hotmail.com,hotmail.com,DE,RO,UA,372345,prepaid,187,1,electronics,mobile
NEW0016,2025-01-18 19:22:05,832.1,vnc470qrn@yahoo.com,yahoo.com,CA,CA,RO,372345,prepaid,3,5,electronics,desktop
