transaction_id,amount_usd,fraud_score,risk_tier,triggered_signals,is_country_mismatch,is_ip_mismatch,velocity_score,new_account_large_order,is_suspicious_email,is_high_risk_bin,is_prepaid_card,amount_zscore,billing_country,shipping_country,ip_country,card_bin,payment_method,account_age_days,purchases_last_24h,product_category,device_type,customer_email
NEW0000,229.92,80.0,HIGH,new account with large order; extreme purchase velocity (10 purchases in 24h) [velocity override applied → floor 80],0,0,9.591581091193483,1,0,0,0,1.120359084234782,DE,DE,DE,373737,credit_card,1,10,prepaid_card,mobile,lisa.lee716@icloud.com
NEW0001,69.82,4.7,LOW,no flags triggered,0,0,2.772588722239781,0,0,0,0,-0.2863359892205908,FR,FR,FR,540540,paypal,271,1,books,desktop,jane.jones486@yahoo.com
NEW0002,813.07,95.0,HIGH,billing/shipping country mismatch; IP country differs from billing country; suspicious email pattern; high-risk BIN detected; prepaid card used; unusually high amount (z-score=6.2),1,1,4.394449154672439,0,1,1,1,6.244120683769452,AU,BD,PK,349876,prepaid,199,2,electronics,mobile,3dz4wlxx8@mail.com
NEW0003,366.34,87.5,HIGH,billing/shipping country mismatch; IP country differs from billing country; new account with large order; high-risk BIN detected; unusually high amount (z-score=2.3),1,1,4.394449154672439,1,0,1,0,2.318993324839291,DE,EC,US,349876,debit_card,18,2,electronics,desktop,jane.jones821@protonmail.com
NEW0004,51.11,28.3,LOW,extreme purchase velocity (7 purchases in 24h),0,0,8.317766166719343,0,0,0,0,-0.45072864896044096,DE,DE,DE,601611,credit_card,0,7,prepaid_card,mobile,mike.wilson888@gmail.com
NEW0005,1150.8,89.3,HIGH,IP country differs from billing country; new account with large order; suspicious email pattern; high-risk BIN detected; unusually high amount (z-score=9.2),0,1,4.394449154672439,1,1,1,0,9.21153559418846,CA,CA,UA,349876,credit_card,2,2,electronics,desktop,467l1lg4@protonmail.com
NEW0006,126.12,5.6,LOW,no flags triggered,0,0,0.0,0,0,0,0,0.20833566996452788,CA,CA,CA,373737,credit_card,741,0,books,desktop,ana.brown385@icloud.com
NEW0007,123.05,6.0,LOW,no flags triggered,0,0,2.772588722239781,0,0,0,0,0.1813615670569201,DE,DE,DE,411111,debit_card,1535,1,sporting_goods,tablet,mike.lee272@hotmail.com
NEW0008,20.77,4.5,LOW,no flags triggered,0,0,2.772588722239781,0,0,0,0,-0.7173065910506097,US,US,US,448100,paypal,210,1,sporting_goods,tablet,maria.wilson655@mail.com
NEW0009,28.73,4.2,LOW,no flags triggered,0,0,0.0,0,0,0,0,-0.6473672232510795,DE,DE,DE,424242,debit_card,629,0,books,mobile,jane.garcia288@yahoo.com
NEW0010,155.73,80.0,HIGH,new account with large order; extreme purchase velocity (7 purchases in 24h) [velocity override applied → floor 80],0,0,8.317766166719343,1,0,0,0,0.4684995745554933,CA,CA,CA,532532,credit_card,1,7,prepaid_card,mobile,mike.garcia618@gmx.com
NEW0011,132.62,6.0,LOW,no flags triggered,0,0,2.772588722239781,0,0,0,0,0.26544696276565166,GB,GB,GB,532532,credit_card,1468,1,clothing,mobile,alex.garcia987@gmx.com
